Order_ID,Product,Quantity_MT,Unit_Price_USD,Buyer_Country,Quality_Grade,Order_Status,Order_Date,Shipment_Date,Total_Value_USD
1,Sesame Seed,12.84,2266.43,India,B,Completed,2024-02-01,2024-03-07,29100.96
2,Soya Beans,151.56,516.65,Turkey,B,Completed,2024-12-30,2025-02-08,78303.47
3,Cassia Tora,103.76,914.71,India,A,Completed,2023-05-11,2023-06-23,94910.31
4,Sesame Seed,173.69,549.69,UAE,A,Completed,2024-07-18,2024-08-12,95475.66
5,Cassia Tora,132.3,460.99,Turkey,A,Pending,2024-02-05,,60988.98
6,Hibiscus,159.89,341.75,UAE,A,Completed,2024-01-01,2024-02-09,54642.41
7,Sesame Seed,35.13,2068.99,China,A,Completed,2023-11-11,2023-12-06,72683.62
8,Soya Beans,35.41,643.96,UAE,A,Completed,2021-05-02,2021-06-14,22802.62
9,Sesame Seed,43.01,1153.14,Vietnam,B,Completed,2022-04-12,2022-04-21,49596.55
10,Hibiscus,67.33,326.59,Vietnam,A,Completed,2024-05-23,2024-07-03,21989.3
11,Hibiscus,180.98,2125.49,Vietnam,A,Completed,2021-11-27,2021-12-11,384671.18
12,Soya Beans,155.09,537.47,India,C,Completed,2025-01-22,2025-02-16,83356.22
13,Cassia Tora,73.56,1277.67,Turkey,B,Completed,2021-03-29,2021-04-10,93985.41
14,Sesame Seed,183.78,1092.54,China,A,Completed,2024-10-28,2024-12-01,200787.0
15,Cassia Tora,156.01,858.51,Turkey,B,Completed,2024-01-29,2024-02-04,133936.15
16,Cassia Tora,131.56,1315.25,Netherlands,B,Completed,2023-05-22,2023-06-15,173034.29
17,Soya Beans,87.88,386.52,Netherlands,B,Completed,2021-05-11,2021-06-13,33967.38
18,Sesame Seed,130.68,1101.67,India,B,Completed,2024-08-25,2024-09-02,143966.24
19,Hibiscus,119.05,1484.19,Turkey,B,Completed,2023-02-09,2023-03-06,176692.82
20,Soya Beans,156.59,1636.86,UAE,A,Completed,2021-12-10,2021-12-26,256315.91
21,Cassia Tora,45.89,1505.67,Turkey,A,Pending,2025-02-24,,69095.2
22,Hibiscus,177.23,1299.38,UAE,B,Completed,2024-12-08,2024-12-28,230289.12
23,Cassia Tora,118.78,1585.84,Turkey,C,Completed,2023-03-17,2023-04-24,188366.08
24,Sesame Seed,161.54,496.29,India,A,Cancelled,2022-01-21,,80170.69
25,Cassia Tora,70.11,981.18,India,A,Completed,2024-04-30,2024-06-09,68790.53
26,Hibiscus,78.99,2426.77,Turkey,A,Completed,2023-08-14,2023-08-21,191690.56
27,Sesame Seed,187.52,2405.1,Turkey,A,Completed,2021-10-04,2021-10-18,451004.35
28,Soya Beans,124.77,1685.77,China,C,Completed,2024-03-30,2024-05-04,210333.52
29,Cassia Tora,64.23,1398.5,China,A,Completed,2022-04-05,2022-05-13,89825.66
30,Sesame Seed,17.35,806.51,India,B,Completed,2024-08-30,2024-09-18,13992.95
31,Sesame Seed,87.44,1092.39,China,A,Completed,2021-01-22,2021-02-26,95518.58
32,Soya Beans,169.97,1723.18,Vietnam,B,Completed,2021-09-10,2021-09-18,292888.9
33,Soya Beans,51.03,2087.08,Netherlands,A,Completed,2023-01-18,2023-02-20,106503.69
34,Hibiscus,172.2,2120.0,Turkey,A,Completed,2023-05-07,2023-06-20,365064.0
35,Sesame Seed,33.17,604.68,Netherlands,A,Completed,2025-05-04,2025-05-27,20057.24
36,Sesame Seed,26.86,1411.55,China,A,Completed,2022-04-20,2022-05-21,37914.23
37,Hibiscus,121.53,1871.26,Vietnam,A,Pending,2023-12-19,,227414.23
38,Cassia Tora,161.12,1831.81,Vietnam,B,Completed,2022-05-26,2022-07-09,295141.23
39,Sesame Seed,156.23,2441.78,UAE,B,Completed,2025-02-08,2025-03-04,381479.29
40,Sesame Seed,109.18,579.89,Netherlands,A,Completed,2022-12-01,2022-12-11,63312.39
41,Cassia Tora,128.1,1315.72,China,A,Completed,2023-09-03,2023-10-08,168543.73
42,Soya Beans,52.38,471.69,Turkey,B,Completed,2021-07-09,2021-07-16,24707.12
43,Soya Beans,110.69,1555.44,Turkey,C,Completed,2023-08-16,2023-08-24,172171.65
44,Soya Beans,42.33,1804.28,Vietnam,A,Completed,2022-11-18,2022-11-25,76375.17
45,Hibiscus,185.74,464.73,Netherlands,B,Completed,2023-08-16,2023-09-21,86318.95
46,Cassia Tora,135.93,1473.19,China,B,Completed,2022-07-17,2022-08-05,200250.72
47,Soya Beans,113.36,2439.24,UAE,A,Completed,2025-05-10,2025-05-21,276512.25
48,Hibiscus,50.18,377.57,India,C,Completed,2024-06-21,2024-08-01,18946.46
49,Cassia Tora,82.39,691.84,China,A,Completed,2023-04-12,2023-05-26,57000.7
50,Soya Beans,156.26,1501.68,India,A,Completed,2025-03-09,2025-04-15,234652.52
51,Sesame Seed,48.64,1867.82,Turkey,C,Completed,2024-02-29,2024-04-10,90850.76
52,Sesame Seed,26.64,2113.39,Turkey,C,Completed,2025-02-17,2025-03-20,56300.71
53,Soya Beans,62.16,955.35,Vietnam,A,Completed,2022-10-09,2022-10-20,59384.56
54,Soya Beans,159.1,1037.52,Turkey,A,Completed,2021-01-21,2021-02-21,165069.43
55,Hibiscus,176.74,2035.59,India,B,Pending,2023-04-21,,359770.18
56,Sesame Seed,83.46,1225.73,Vietnam,A,Cancelled,2021-06-16,,102299.43
57,Cassia Tora,156.47,2226.82,India,B,Completed,2024-07-21,2024-08-29,348430.53
58,Soya Beans,67.11,2324.05,Netherlands,B,Completed,2022-01-23,2022-02-21,155967.0
59,Cassia Tora,102.25,2172.49,UAE,C,Completed,2022-08-24,2022-09-11,222137.1
60,Soya Beans,5.02,484.7,Turkey,B,Completed,2021-11-12,2021-12-14,2433.19
61,Sesame Seed,142.69,1487.52,Netherlands,A,Pending,2021-01-14,,212254.23
62,Soya Beans,144.02,2381.69,India,A,Cancelled,2021-08-30,,343010.99
63,Cassia Tora,20.94,2420.19,Turkey,A,Completed,2023-02-16,2023-03-07,50678.78
64,Sesame Seed,72.4,1457.38,Turkey,B,Completed,2024-10-01,2024-11-07,105514.31
65,Soya Beans,97.23,1251.94,Turkey,B,Completed,2022-07-19,2022-08-08,121726.13
66,Sesame Seed,155.05,714.74,China,A,Completed,2023-06-17,2023-06-28,110820.44
67,Hibiscus,164.9,2493.79,UAE,A,Cancelled,2024-09-25,,411225.97
